0	-0
-0.75	-62823.9
-1.5	-125313
-1.78125	-143898
-1.85156	-146331
-1.92188	-148175
-1.99219	-149591
-2.0625	-150706
-2.13281	-151574
-2.20313	-152286
-2.27344	-152876
-2.34375	-153369
-2.41406	-153781
-2.48438	-154128
-2.50195	-154208
-2.52832	-154320
-2.56787	-154475
-2.6272	-154682
-2.68652	-154861
-2.74585	-155017
-2.80518	-155155
-2.89417	-155331
-3.02765	-155547
-3.22787	-155792
-3.52821	-156046
-3.97872	-156287
-4.65448	-156495
-4.90789	-156552
-5.28801	-156619
-5.85819	-156695
-6.71345	-156780
-7.99634	-156878
-9.27923	-156953
-10.5621	-157010
-11.845	-157054
-13.1279	-157085
-14.4108	-157103
-16.3351	-157037
-17.0568	-156967
-18.1392	-156732
-19.2216	-156272
-20.3041	-155555
-21.3865	-154647
-22.469	-153579
-24.0926	-151651
-24.4985	-151156
-24.9045	-150644
-25.3104	-150120
-25.9192	-149313
-26.8326	-148070
-28.2025	-146179
-29.5725	-144327
-30	-143771
