0	-0
-0.75	-76371
-1.5	-151769
-1.6875	-162878
-1.73438	-164301
-1.78125	-165430
-1.82813	-166350
-1.875	-167132
-1.94531	-168092
-2.05078	-169175
-2.15625	-169967
-2.26172	-170557
-2.36719	-171007
-2.47266	-171361
-2.57813	-171648
-2.73633	-171982
-2.97363	-172342
-3.32959	-172697
-3.86353	-173022
-4.66443	-173306
-5.46533	-173483
-6.26624	-173608
-7.46759	-173747
-8.66895	-173857
-9.8703	-173952
-11.0717	-174038
-12.8737	-174152
-14.6757	-174254
-16.4778	-174344
-19.1808	-174450
-21.8839	-174529
-24.5869	-174570
-27.2899	-174489
-30	-173746
