0	-0
-0.75	-104909
-0.9375	-131129
-1.21875	-170318
-1.32422	-184464
-1.36377	-189375
-1.4231	-193586
-1.48242	-195824
-1.54175	-197523
-1.60107	-198848
-1.6604	-199899
-1.67523	-200130
-1.69006	-200348
-1.71231	-200654
-1.74568	-201069
-1.79574	-201605
-1.84579	-202060
-1.89585	-202449
-1.94591	-202783
-1.99596	-203073
-2.07105	-203440
-2.18368	-203877
-2.35262	-204364
-2.60603	-204870
-2.98614	-205358
-3.55632	-205817
-4.12649	-206141
-4.69667	-206402
-5.26684	-206626
-5.83702	-206824
-5.97956	-206871
-6.19337	-206939
-6.5141	-207033
-6.99518	-207166
-7.71681	-207339
-8.79925	-207536
-9.88169	-207683
-10.9641	-207808
-12.5878	-207971
-15.0233	-208176
-18.6765	-208386
-19.5898	-208415
-20.5031	-208411
-21.8731	-208284
-23.928	-206954
-25.983	-202392
-28.0379	-196375
-30	-190984
